experiment,cell_name,numSites,simulation_paramstrueBrlen,estBrlen,simulation_params,trueBrlen
s9c4,b'171_6',k200,,0.28456071653773685,sep_2_spalin,0.258
s9c4,b'216_10',k200,,0.29499576596251503,sep_2_spalin,0.27
s9c4,b'211_8',k200,,0.17831881858879478,sep_2_spalin,0.24
s9c4,b'216_13',k200,,0.040309098377160194,sep_2_spalin,0.03
s9c4,b'216_12',k200,,0.04029605578731672,sep_2_spalin,0.03
s9c4,b'168_3',k200,,0.29411016330545486,sep_2_spalin,0.24
s9c4,b'212_7',k200,,0.19931385693222217,sep_2_spalin,0.264
s9c4,b'216_9',k200,,0.021764967895007762,sep_2_spalin,0.024
s9c4,b'216_8',k200,,0.06604207862255669,sep_2_spalin,0.024
s9c4,b'211_5',k200,,0.3188174542597249,sep_2_spalin,0.258
s9c4,b'216_7',k200,,0.04592455349350125,sep_2_spalin,0.03
s9c4,b'216_6',k200,,0.02279754820018893,sep_2_spalin,0.03
s9c4,b'34_3',k200,,0.17852358020993933,sep_2_spalin,0.198
s9c4,b'180_11',k200,,0.7948591832922931,sep_2_spalin,0.876
s9c4,b'216_15',k200,,0.27154444158013785,sep_2_spalin,0.216
s9c4,b'216_14',k200,,0.25438045311619256,sep_2_spalin,0.216
s9c4,b'79_4',k200,,0.3610727657252369,sep_2_spalin,0.27
s9c4,b'130_8',k200,,0.2989352542055057,sep_2_spalin,0.306
s9c4,b'216_25',k200,,0.5756809517684085,sep_2_spalin,0.516
s9c4,b'183_18',k200,,0.3418314933348456,sep_2_spalin,0.318
s9c4,b'216_23',k200,,0.41111083431529927,sep_2_spalin,0.198
s9c4,b'216_22',k200,,0.1916404091265013,sep_2_spalin,0.198
s9c4,b'127_8',k200,,0.28301951895889166,sep_2_spalin,0.28800000000000003
s9c4,b'179_18',k200,,0.34924892764086723,sep_2_spalin,0.312
s9c4,b'216_27',k200,,0.21483509020513533,sep_2_spalin,0.222
s9c4,b'216_26',k200,,0.2147868985383534,sep_2_spalin,0.222
s9c4,b'175_17',k200,,0.25256556673920527,sep_2_spalin,0.28800000000000003
s9c4,b'215_30',k200,,0.27338914911923234,sep_2_spalin,0.24
s9c4,b'216_31',k200,,0.005115349718718257,sep_2_spalin,0.006
s9c4,b'216_30',k200,,0.03689030860943967,sep_2_spalin,0.006
s9c4,b'213_27',k200,,0.19916113089596205,sep_2_spalin,0.228
s9c4,b'216_29',k200,,0.005000000023806981,sep_2_spalin,0.018000000000000002
s9c4,b'216_28',k200,,0.04539760912538832,sep_2_spalin,0.018000000000000002
s15c6,b'50_2',k10,,0.28679867552311294,sep_05_spalin,0.294
