condition k rep method nodeAge trueBrlen estBrlen
s10c4 k10 r1 spalin_leaves 176 52.0 39.1358
s10c4 k10 r1 spalin_leaves 211 38.0 55.0632
s10c4 k10 r1 spalin_leaves 211 38.0 0.833333
s10c4 k10 r1 spalin_leaves 216 40.0 0.833333
s10c4 k10 r1 spalin_leaves 216 40.0 0.833333
s10c4 k10 r1 spalin_leaves 216 40.0 108.001
s10c4 k10 r1 spalin_leaves 216 45.0 0.833333
s10c4 k10 r1 spalin_leaves 216 45.0 96.189
s10c4 k10 r1 spalin_leaves 216 5.0 61.2895
s10c4 k10 r1 spalin_leaves 216 5.0 0.833333
s10c4 k10 r1 spalin_leaves 216 5.0 74.7845
s10c4 k10 r1 spalin_leaves 216 5.0 0.833333
s10c4 k10 r1 spalin_leaves 216 40.0 79.3892
s10c5 k10 r1 problin 60 59.0 0
s10c5 k10 r1 problin 118 58.0 123.072
s10c5 k10 r1 problin 164 104.0 87.6313
s10c5 k10 r1 problin 167 49.0 80.2
s10c5 k10 r1 problin 173 55.0 79.9938
s10c5 k10 r1 problin 205 41.0 47.9252
s10c5 k10 r1 problin 207 43.0 0.833333
s10c5 k10 r1 problin 212 45.0 0.833333
s10c5 k10 r1 problin 213 46.0 0.833333
s10c5 k10 r1 problin 216 9.0 0.833333
s10c5 k10 r1 problin 216 4.0 0.833333
s10c5 k10 r1 problin 216 3.0 0.833333
s10c5 k10 r1 problin 216 3.0 0.833333
s10c5 k10 r1 problin 216 43.0 0.833333
s10c5 k10 r1 problin 216 43.0 115.732
s10c5 k10 r1 problin 216 9.0 47.9598
s10c5 k10 r1 problin 216 11.0 0.833333
s10c5 k10 r1 problin 216 11.0 67.7162
s10c5 k10 r1 problin 216 4.0 0.833333
s10c5 k10 r1 spalin_all 60 59.0 0
s10c5 k10 r1 spalin_all 118 58.0 117.478
s10c5 k10 r1 spalin_all 164 104.0 82.7683
s10c5 k10 r1 spalin_all 167 49.0 84.0163
s10c5 k10 r1 spalin_all 173 55.0 38.8228
s10c5 k10 r1 spalin_all 205 41.0 53.6105
s10c5 k10 r1 spalin_all 207 43.0 37.2722
s10c5 k10 r1 spalin_all 212 45.0 43.8298
s10c5 k10 r1 spalin_all 213 46.0 49.2153
s10c5 k10 r1 spalin_all 216 9.0 8.3361
s10c5 k10 r1 spalin_all 216 4.0 23.8432
s10c5 k10 r1 spalin_all 216 3.0 14.7807
s10c5 k10 r1 spalin_all 216 3.0 22.9618
s10c5 k10 r1 spalin_all 216 43.0 36.0825
s10c5 k10 r1 spalin_all 216 43.0 151.765
s10c5 k10 r1 spalin_all 216 9.0 34.6128
s10c5 k10 r1 spalin_all 216 11.0 12.281
s10c5 k10 r1 spalin_all 216 11.0 59.0978
s10c5 k10 r1 spalin_all 216 4.0 15.4153
s10c5 k10 r1 spalin_leaves 60 59.0 0
s10c5 k10 r1 spalin_leaves 118 58.0 128.835
s10c5 k10 r1 spalin_leaves 164 104.0 66.8643
s10c5 k10 r1 spalin_leaves 167 49.0 53.097
s10c5 k10 r1 spalin_leaves 173 55.0 0.833333
s10c5 k10 r1 spalin_leaves 205 41.0 101.044
s10c5 k10 r1 spalin_leaves 207 43.0 0.833333
s10c5 k10 r1 spalin_leaves 212 45.0 67.1847
s10c5 k10 r1 spalin_leaves 213 46.0 0.833333
s10c5 k10 r1 spalin_leaves 216 9.0 0.833333
s10c5 k10 r1 spalin_leaves 216 4.0 0.833333
s10c5 k10 r1 spalin_leaves 216 3.0 52.274
s10c5 k10 r1 spalin_leaves 216 3.0 0.833333
s10c5 k10 r1 spalin_leaves 216 43.0 0.833333
s10c5 k10 r1 spalin_leaves 216 43.0 224.933
s10c5 k10 r1 spalin_leaves 216 9.0 55.3977
s10c5 k10 r1 spalin_leaves 216 11.0 0.833333
s10c5 k10 r1 spalin_leaves 216 11.0 86.9542
s10c5 k10 r1 spalin_leaves 216 4.0 49.2872
s12c4 k10 r1 problin virtual 0 0
s12c4 k10 r1 problin 44 43.0 30.0055
s12c4 k10 r1 problin 91 47.0 120.46
s12c4 k10 r1 problin 91 47.0 15.2226
s12c4 k10 r1 problin 106 105.0 14.2978
s12c4 k10 r1 problin 136 45.0 70.1133
s12c4 k10 r1 problin 138 47.0 107.278
s12c4 k10 r1 problin 139 48.0 0.833333
s12c4 k10 r1 problin 153 47.0 97.1727
s12c4 k10 r1 problin 182 44.0 0.833333
s12c4 k10 r1 problin 183 45.0 84.3645
s12c4 k10 r1 problin 186 50.0 85.3187
s12c4 k10 r1 problin 187 48.0 49.9028
s12c4 k10 r1 problin 188 52.0 0.833333
s12c4 k10 r1 problin 190 51.0 49.766
s12c4 k10 r1 problin 195 42.0 41.1407
s12c4 k10 r1 problin 196 43.0 41.1407
s12c4 k10 r1 problin 198 92.0 138.416
s12c4 k10 r1 problin 203 112.0 200.662
s12c4 k10 r1 problin 216 20.0 48.051
s12c4 k10 r1 problin 216 13.0 0.833335
s12c4 k10 r1 problin 216 26.0 0.833333
s12c4 k10 r1 problin 216 26.0 67.7162
s12c4 k10 r1 problin 216 29.0 0.833333
s12c4 k10 r1 problin 216 29.0 0.833333
s12c4 k10 r1 problin 216 33.0 146.892
s12c4 k10 r1 problin 216 33.0 146.892
s12c4 k10 r1 problin 216 34.0 0.833333
s12c4 k10 r1 problin 216 34.0 0.833333
s12c4 k10 r1 problin 216 30.0 0.833333
s12c4 k10 r1 problin 216 20.0 0.833333
s12c4 k10 r1 problin 216 30.0 0.833333
s12c4 k10 r1 problin 216 28.0 37.2072
s12c4 k10 r1 problin 216 28.0 0.833333
s12c4 k10 r1 problin 216 21.0 0.833333
s12c4 k10 r1 problin 216 21.0 48.051
s12c4 k10 r1 problin 216 18.0 0.833333
s12c4 k10 r1 problin 216 18.0 0.833333
s12c4 k10 r1 problin 216 13.0 0.833335
s12c4 k10 r1 spalin_all virtual 0 0
s12c4 k10 r1 spalin_all 44 43.0 0.833333
s12c4 k10 r1 spalin_all 91 47.0 110.241
s12c4 k10 r1 spalin_all 91 47.0 60.9735
s12c4 k10 r1 spalin_all 106 105.0 46.3072
s12c4 k10 r1 spalin_all 136 45.0 47.8848
s12c4 k10 r1 spalin_all 138 47.0 74.3192
s12c4 k10 r1 spalin_all 139 48.0 57.136
s12c4 k10 r1 spalin_all 153 47.0 64.7787
s12c4 k10 r1 spalin_all 182 44.0 37.4068
s12c4 k10 r1 spalin_all 183 45.0 137.17
s12c4 k10 r1 spalin_all 186 50.0 75.8658
s12c4 k10 r1 spalin_all 187 48.0 34.8572
s12c4 k10 r1 spalin_all 188 52.0 27.162
s12c4 k10 r1 spalin_all 190 51.0 38.4083
s12c4 k10 r1 spalin_all 195 42.0 63.4307
s12c4 k10 r1 spalin_all 196 43.0 60.0215
s12c4 k10 r1 spalin_all 198 92.0 106.517
s12c4 k10 r1 spalin_all 203 112.0 200.662
s12c4 k10 r1 spalin_all 216 20.0 48.5885
s12c4 k10 r1 spalin_all 216 13.0 41.8315
s12c4 k10 r1 spalin_all 216 26.0 9.15857
s12c4 k10 r1 spalin_all 216 26.0 32.8172
s12c4 k10 r1 spalin_all 216 29.0 37.9855
s12c4 k10 r1 spalin_all 216 29.0 2.80592
s12c4 k10 r1 spalin_all 216 33.0 127.187
s12c4 k10 r1 spalin_all 216 33.0 32.7358
s12c4 k10 r1 spalin_all 216 34.0 30.5878
s12c4 k10 r1 spalin_all 216 34.0 33.5873
s12c4 k10 r1 spalin_all 216 30.0 61.8107
s12c4 k10 r1 spalin_all 216 20.0 17.138
s12c4 k10 r1 spalin_all 216 30.0 19.2513
s12c4 k10 r1 spalin_all 216 28.0 2.55083
s12c4 k10 r1 spalin_all 216 28.0 31.5217
s12c4 k10 r1 spalin_all 216 21.0 33.2213
s12c4 k10 r1 spalin_all 216 21.0 28.0897
s12c4 k10 r1 spalin_all 216 18.0 15.82
s12c4 k10 r1 spalin_all 216 18.0 15.8199
s12c4 k10 r1 spalin_all 216 13.0 41.1285
s12c4 k10 r1 spalin_leaves virtual 0 0
s12c4 k10 r1 spalin_leaves 44 43.0 13.9007
s12c4 k10 r1 spalin_leaves 91 47.0 108.67
s12c4 k10 r1 spalin_leaves 91 47.0 0.833333
s12c4 k10 r1 spalin_leaves 106 105.0 0.833333
s12c4 k10 r1 spalin_leaves 136 45.0 139.416
s12c4 k10 r1 spalin_leaves 138 47.0 118.161
s12c4 k10 r1 spalin_leaves 139 48.0 0.833333
s12c4 k10 r1 spalin_leaves 153 47.0 130.774
s12c4 k10 r1 spalin_leaves 182 44.0 0.833333
s12c4 k10 r1 spalin_leaves 183 45.0 0.833333
s12c4 k10 r1 spalin_leaves 186 50.0 61.2993
s12c4 k10 r1 spalin_leaves 187 48.0 34.1558
s12c4 k10 r1 spalin_leaves 188 52.0 0.833333
s12c4 k10 r1 spalin_leaves 190 51.0 0.833333
s12c4 k10 r1 spalin_leaves 195 42.0 53.4927
s12c4 k10 r1 spalin_leaves 196 43.0 0.833333
s12c4 k10 r1 spalin_leaves 198 92.0 137.627
s12c4 k10 r1 spalin_leaves 203 112.0 200.662
s12c4 k10 r1 spalin_leaves 216 20.0 51.7842
s12c4 k10 r1 spalin_leaves 216 13.0 82.0837
