model treeID cellID true_x true_y estimated_x estimated_y
Gaussian s13c1 192_24 137.0 285.0 139.66728869028782 285.6583065919241
Gaussian s13c2 42_2 248.0 297.0 240.84977895690102 323.02460318185604
Gaussian s13c2 89_5 241.0 291.0 235.48633193941097 306.144211135474
Gaussian s13c2 142_11 241.0 287.0 252.44027661166677 301.7658766216924
Gaussian s13c2 196_16 248.0 308.0 249.9594182205728 318.41654322213924
Gaussian s13c2 140_9 209.0 300.0 213.35224817076818 292.04030432220304
Gaussian s13c2 83_4 238.0 271.0 261.893236282665 311.66710459933734
Gaussian s13c2 171_11 265.0 293.0 281.9661105313702 316.6164078007535
Gaussian s13c2 210_19 298.0 304.0 289.89043646652544 311.4011719857669
Gaussian s13c2 209_17 283.0 313.0 282.9128045026448 323.835118730183
Gaussian s13c2 149_14 250.0 256.0 280.7134143400391 289.67232460201205
Gaussian s13c2 203_19 271.0 296.0 279.6303668299209 304.245786940711
Gaussian s13c2 192_20 285.0 264.0 293.8374722196458 263.737598094985
Gaussian s13c2 42_1 238.0 340.0 224.48507328469157 349.10755014526194
Gaussian s13c2 88_3 234.0 314.0 221.98989812774786 336.2554898116765
Gaussian s13c2 134_6 212.0 321.0 211.5279069242057 331.8291753073553
Gaussian s13c2 180_11 212.0 307.0 215.46097382243335 322.6082055551944
Gaussian s13c2 180_10 191.0 330.0 197.1328488224326 336.62383055519285
Gaussian s13c2 133_3 232.0 322.0 229.78352252116403 328.01291237001226
Gaussian s13c2 178_6 219.0 326.0 223.9591707484709 337.49602085984725
Gaussian s13c2 177_7 236.0 286.0 243.09887699468845 310.6811305703193
Gaussian s13c2 87_1 240.0 355.0 226.92600550343812 361.68021786289654
Gaussian s13c2 137_3 230.0 354.0 226.55875640614428 358.6202613847795
Gaussian s13c2 182_4 206.0 362.0 211.63707836942672 360.710394250665
Gaussian s13c2 181_5 235.0 348.0 240.82566239198957 353.88381421517744
Gaussian s13c2 133_1 228.0 374.0 229.7590498298951 377.347438156355
Gaussian s13c2 176_2 214.0 383.0 223.78065073964737 387.00712322423766
Gaussian s13c3 41_1 323.0 233.0 351.3306958752479 254.03608048029983
