sample size dtype nodeName trueTime dvalue
s11c1 11 nMus 216_4 51.0 2.134
s11c1 11 nMus 216_5 49.0 3.03
s11c1 11 nMus 216_6 49.0 2.03
s11c1 11 nMus 28_1 27.0 0.961
s11c1 11 nMus 95_3 67.0 0.008
s12c1 15 brlen 128_1 50.0 0.005
s12c1 15 brlen 128_2 50.0 0.07054607544278174
s12c1 15 brlen 169_4 41.0 0.3565964186907666
s12c1 15 brlen 171_3 43.0 0.005
s12c1 15 brlen 182_2 54.0 0.5154745811350743
s12c1 15 brlen 183_1 55.0 0.1880327860518544
s12c1 15 brlen 216_1 33.0 0.3324417950832156
s12c1 15 brlen 216_2 33.0 0.3324417950832156
s12c1 15 brlen 216_3 34.0 0.005
s12c1 15 brlen 216_4 34.0 0.005
s12c1 15 brlen 216_5 45.0 0.4499285056922945
s12c1 15 brlen 216_6 45.0 0.4499285056922945
s12c1 15 brlen 216_7 47.0 0.09833208700151992
s12c1 15 brlen 216_8 47.0 0.09833208700151992
s12c1 15 brlen 78_1 77.0 0.22237798704359898
s12c1 15 nMus 128_1 50.0 0.002
s12c1 15 nMus 128_2 50.0 0.885
s12c1 15 nMus 169_4 41.0 3.097
s12c1 15 nMus 171_3 43.0 0.009
s12c1 15 nMus 182_2 54.0 2.013
s12c1 15 nMus 183_1 55.0 0.849
s12c1 15 nMus 216_1 33.0 1.164
s12c1 15 nMus 216_2 33.0 2.164
s12c1 15 nMus 216_3 34.0 0
s12c1 15 nMus 216_4 34.0 0
s12c1 15 nMus 216_5 45.0 5.12
s12c1 15 nMus 216_6 45.0 1.12
s12c1 15 nMus 216_7 47.0 0.032
s12c1 15 nMus 216_8 47.0 1.032
s12c1 15 nMus 78_1 77.0 1.986
s12c2 7 brlen 147_1 146.0 0.3528301222998842
s12c2 7 brlen 193_2 46.0 0.07488567850876089
s12c2 7 brlen 200_1 53.0 0.15874953997583272
s12c2 7 brlen 216_1 16.0 0.06359594812011567
s12c2 7 brlen 216_2 16.0 0.06359594812011567
s12c2 7 brlen 216_3 23.0 0.14745980958718746
