sample,cellID,trueBrlen,method,estBrlen
s20c6/k10_r5,b'04_3',0.342,problin,0.19832084406707254
s20c6/k10_r5,b'66_5',0.372,spalin,0.1536412787347353
s20c6/k10_r5,b'66_5',0.372,problin,0.14246849192135613
s20c6/k10_r5,b'16_9',0.3,spalin,0.35907730609925287
s20c6/k10_r5,b'16_9',0.3,problin,0.48417276950600935
s20c6/k10_r5,b'16_8',0.3,spalin,0.35907730609925287
s20c6/k10_r5,b'16_8',0.3,problin,0.48417276950600935
s20c6/k10_r5,b'57_6',0.318,spalin,0.2995813191563535
s20c6/k10_r5,b'57_6',0.318,problin,0.3080163624115471
s20c6/k10_r5,b'16_11',0.354,spalin,0.2131372656776347
s20c6/k10_r5,b'16_11',0.354,problin,0.31862489901581836
s20c6/k10_r5,b'16_10',0.354,spalin,0.2131372656776347
s20c6/k10_r5,b'16_10',0.354,problin,0.31862489901581836
s20c6/k10_r5,b'6_2',0.27,spalin,0.06821708286848996
s20c6/k10_r5,b'6_2',0.27,problin,0.09822261156558096
s20c6/k10_r5,b'76_10',0.78,spalin,0.5492054953889671
s20c6/k10_r5,b'76_10',0.78,problin,0.5572111272944765
s20c6/k10_r5,b'16_13',0.24,spalin,0.48057820159061293
s20c6/k10_r5,b'16_13',0.24,problin,0.42205314919524334
s20c6/k10_r5,b'16_12',0.24,spalin,0.48057820159061293
s20c6/k10_r5,b'16_12',0.24,problin,0.42205314919524334
s20c6/k10_r5,b'9_4',0.258,spalin,0.005000000007166528
s20c6/k10_r5,b'9_4',0.258,problin,0.0050000006073886265
s20c6/k10_r5,b'16_16',0.762,spalin,1.0247836969724136
s20c6/k10_r5,b'16_16',0.762,problin,0.9742642758823312
s20c6/k10_r5,b'16_19',0.762,spalin,1.0247836969724136
s20c6/k10_r5,b'16_19',0.762,problin,0.9742642758823312
s7c5/k10_r1,b'irtual',0.0,spalin,0.08238200187505502
s7c5/k10_r1,b'irtual',0.0,problin,0.0743271980975799
s7c5/k10_r1,b'86_2',1.11,spalin,1.1768610088172697
s7c5/k10_r1,b'86_2',1.11,problin,1.3125350131704587
s7c5/k10_r1,b'16_4',0.18,spalin,0.2562406289218172
s7c5/k10_r1,b'16_4',0.18,problin,0.19590368817021422
s7c5/k10_r1,b'16_3',0.18,spalin,0.2562406289218172
s7c5/k10_r1,b'16_3',0.18,problin,0.19590368817021422
s7c5/k10_r1,b'5_2',0.264,spalin,0.40884493146537737
s7c5/k10_r1,b'5_2',0.264,problin,0.3986092384588066
s7c5/k10_r1,b'59_8',0.684,spalin,0.3489613014849156
s7c5/k10_r1,b'59_8',0.684,problin,0.3675673389020836
s7c5/k10_r1,b'08_10',0.294,spalin,0.573067526015735
s7c5/k10_r1,b'08_10',0.294,problin,0.7372621224283185
s7c5/k10_r1,b'16_13',0.048,spalin,0.1022278787730592
s7c5/k10_r1,b'16_13',0.048,problin,0.005000001551464166
s7c5/k10_r1,b'16_12',0.048,spalin,0.1022278787730592
s7c5/k10_r1,b'16_12',0.048,problin,0.005000001551464166
s7c5/k10_r1,b'05_10',0.276,spalin,0.6206149084869252
s7c5/k10_r1,b'05_10',0.276,problin,0.7372621221572085
s7c5/k10_r1,b'16_15',0.066,spalin,0.05468049630186895
s7c5/k10_r1,b'16_15',0.066,problin,0.005000001822574053
s7c5/k10_r1,b'16_14',0.066,spalin,0.05468049630186895
s7c5/k10_r1,b'16_14',0.066,problin,0.005000001822574053
s7c5/k10_r1,b'15_3',0.42,spalin,0.3123064341316486
s7c5/k10_r1,b'15_3',0.42,problin,0.2949140542374744
s7c5/k10_r1,b'73_5',0.34800000000000003,spalin,0.493059593347411
s7c5/k10_r1,b'73_5',0.34800000000000003,problin,0.804915409055874
s7c5/k10_r1,b'16_5',0.258,spalin,0.21889067879465016
s7c5/k10_r1,b'16_5',0.258,problin,0.009999999588517852
s7c5/k10_r1,b'15_6',0.252,spalin,0.16668785480925175
s7c5/k10_r1,b'15_6',0.252,problin,0.005000000113110534
s7c5/k10_r1,b'16_7',0.006,spalin,0.05220282398539843
s7c5/k10_r1,b'16_7',0.006,problin,0.004999999475407317
s7c5/k10_r1,b'16_6',0.006,spalin,0.05220282398539843
s7c5/k10_r1,b'16_6',0.006,problin,0.004999999475407317
s7c5/k10_r1,b'66_6',0.306,spalin,0.5090814485162289
s7c5/k10_r1,b'66_6',0.306,problin,0.6462083876955684
s7c5/k10_r1,b'10_7',0.264,spalin,0.16232119339375958
s7c5/k10_r1,b'10_7',0.264,problin,0.1637070165588553
s7c5/k10_r1,b'16_9',0.036000000000000004,spalin,0.04054763023207263
s7c5/k10_r1,b'16_9',0.036000000000000004,problin,0.00500000438996812
s7c5/k10_r1,b'16_8',0.036000000000000004,spalin,0.04054763023207263
s7c5/k10_r1,b'16_8',0.036000000000000004,problin,0.00500000438996812
s7c5/k10_r1,b'07_8',0.246,spalin,0.02235960025163691
s7c5/k10_r1,b'07_8',0.246,problin,0.004999999702522296
s7c5/k10_r1,b'16_11',0.054,spalin,0.1805092233741953
