experiment,cell_name,method,trueBrlen,estBrlen
s19c1_,b'30_1',problin,0.13488372093023254,0.007283836554130294
s19c1_,b'160_5',problin,0.6046511627906976,0.731068505348192
s19c1_,b'206_11',problin,0.21395348837209302,0.13640273308286063
s19c1_,b'216_12',problin,0.046511627906976744,0.12524492501481693
s19c1_,b'216_11',problin,0.046511627906976744,0.12524492501481693
s19c1_,b'203_9',problin,0.2,0.007283847825849844
s19c1_,b'216_10',problin,0.06046511627906977,0.2543638102718277
s19c1_,b'216_9',problin,0.06046511627906977,0.2543638102718277
s19c1_,b'77_1',problin,0.2186046511627907,0.778599105960448
s19c1_,b'125_3',problin,0.22325581395348837,0.14390167781142105
s19c1_,b'183_5',problin,0.2697674418604651,0.007283835490278218
s19c1_,b'216_6',problin,0.15348837209302324,0.06293154418372228
s19c1_,b'216_5',problin,0.15348837209302324,0.06293154418372228
s19c1_,b'182_6',problin,0.2651162790697674,0.06293154179296362
s19c1_,b'216_8',problin,0.15813953488372093,0.007283837881036889
s19c1_,b'216_7',problin,0.15813953488372093,0.007283837881036889
s19c1_,b'121_1',problin,0.20465116279069767,0.0807677206399446
s19c1_,b'173_3',problin,0.24186046511627907,0.007283840717188328
s19c1_,b'216_4',problin,0.2,0.12606549612828863
s19c1_,b'216_3',problin,0.2,0.12606549612828863
s19c1_,b'172_1',problin,0.2372093023255814,0.007283840717153355
s19c1_,b'216_2',problin,0.20465116279069767,0.1260654961283236
s19c1_,b'216_1',problin,0.20465116279069767,0.1260654961283236
s19c1_,b'30_1',spalin,0.13488372093023254,0.007780139174924373
s19c1_,b'160_5',spalin,0.6046511627906976,0.7460861915862227
s19c1_,b'206_11',spalin,0.21395348837209302,0.09559435761241256
s19c1_,b'216_12',spalin,0.046511627906976744,0.15053931162632866
s19c1_,b'216_11',spalin,0.046511627906976744,0.15053931162632866
s19c1_,b'203_9',spalin,0.2,0.062469667773484276
s19c1_,b'216_10',spalin,0.06046511627906977,0.183664001465257
s19c1_,b'216_9',spalin,0.06046511627906977,0.183664001465257
s19c1_,b'77_1',spalin,0.2186046511627907,0.6082279270842971
s19c1_,b'125_3',spalin,0.22325581395348837,0.2831159972872888
s19c1_,b'183_5',spalin,0.2697674418604651,0.007780139175149767
s19c1_,b'216_6',spalin,0.15348837209302324,0.09309579727822836
s19c1_,b'216_5',spalin,0.15348837209302324,0.09309579727822836
s19c1_,b'182_6',spalin,0.2651162790697674,0.036818872932383284
s19c1_,b'216_8',spalin,0.15813953488372093,0.06405706352099484
s19c1_,b'216_7',spalin,0.15813953488372093,0.06405706352099484
s19c1_,b'121_1',spalin,0.20465116279069767,0.2584774026473265
s19c1_,b'173_3',spalin,0.24186046511627907,0.012327354597551741
s19c1_,b'216_4',spalin,0.2,0.1131871764957887
s19c1_,b'216_3',spalin,0.2,0.1131871764957887
s19c1_,b'172_1',spalin,0.2372093023255814,0.007780139174924373
s19c1_,b'216_2',spalin,0.20465116279069767,0.11773439191852784
s19c1_,b'216_1',spalin,0.20465116279069767,0.11773439191852784
s19c1_,b'30_1',spalin-divide-beta3,0.13488372093023254,0.007672572336493834
s19c1_,b'160_5',spalin-divide-beta3,0.6046511627906976,0.7420854517714203
s19c1_,b'206_11',spalin-divide-beta3,0.21395348837209302,0.09280191079462703
s19c1_,b'216_12',spalin-divide-beta3,0.046511627906976744,0.1574400650974588
s19c1_,b'216_11',spalin-divide-beta3,0.046511627906976744,0.1574400650974588
s19c1_,b'203_9',spalin-divide-beta3,0.2,0.09072012637543063
s19c1_,b'216_10',spalin-divide-beta3,0.06046511627906977,0.15952184951665524
s19c1_,b'216_9',spalin-divide-beta3,0.06046511627906977,0.15952184951665524
s19c1_,b'77_1',spalin-divide-beta3,0.2186046511627907,0.5799520203571228
s19c1_,b'125_3',spalin-divide-beta3,0.22325581395348837,0.3198818134031314
s19c1_,b'183_5',spalin-divide-beta3,0.2697674418604651,0.007672572331165553
s19c1_,b'216_6',spalin-divide-beta3,0.15348837209302324,0.08482102157208624
s19c1_,b'216_5',spalin-divide-beta3,0.15348837209302324,0.08482102157208624
s19c1_,b'182_6',spalin-divide-beta3,0.2651162790697674,0.0356773796610542
s19c1_,b'216_8',spalin-divide-beta3,0.15813953488372093,0.056816214242197585
s19c1_,b'216_7',spalin-divide-beta3,0.15813953488372093,0.056816214242197585
s19c1_,b'121_1',spalin-divide-beta3,0.20465116279069767,0.2975020100391714
s19c1_,b'173_3',spalin-divide-beta3,0.24186046511627907,0.00767257233151859
s19c1_,b'216_4',spalin-divide-beta3,0.2,0.10720082493569325
s19c1_,b'216_3',spalin-divide-beta3,0.2,0.10720082493569325
s19c1_,b'172_1',spalin-divide-beta3,0.2372093023255814,0.0076725723366091805
s19c1_,b'216_2',spalin-divide-beta3,0.20465116279069767,0.10720082493060266
s19c1_,b'216_1',spalin-divide-beta3,0.20465116279069767,0.10720082493060266
s19c1_,b'30_1',spalin-divide-beta5,0.13488372093023254,0.007562885741091491
s19c1_,b'160_5',spalin-divide-beta5,0.6046511627906976,0.7374846937700341
s19c1_,b'206_11',spalin-divide-beta5,0.21395348837209302,0.09056162432410336
s19c1_,b'216_12',spalin-divide-beta5,0.046511627906976744,0.16439079616130967
s19c1_,b'216_11',spalin-divide-beta5,0.046511627906976744,0.16439079616130967
s19c1_,b'203_9',spalin-divide-beta5,0.2,0.11925891160047208
s19c1_,b'216_10',spalin-divide-beta5,0.06046511627906977,0.13569350888494092
s19c1_,b'216_9',spalin-divide-beta5,0.06046511627906977,0.13569350888494092
s19c1_,b'77_1',spalin-divide-beta5,0.2186046511627907,0.5526891633597265
