sample,parentID,child1ID,child2ID,frameDiff,angle
s8c5,179_15,189_18,189_19,10,164.19748604606448
s8c5,182_12,192_14,192_15,10,172.87498365109818
s8c5,183_21,193_24,193_25,10,152.31893843151474
s8c5,185_11,195_12,195_13,10,137.76385737091258
s8c5,187_2,197_3,197_4,10,179.534190917235
s8c5,192_20,202_23,202_24,10,135.0
s8c5,194_17,204_19,204_20,10,145.35905248808373
s8c5,195_1,205_1,205_2,10,175.6617332085718
s8c5,196_17,206_18,206_19,10,142.64040676102675
s8c5,205_10,215_13,215_14,10,175.6012946450045
s1c2,39_1,49_1,49_2,10,164.156917882313
s1c2,83_2,93_2,93_3,10,178.45184230102203
s1c2,93_1,103_1,103_2,10,155.72972674069055
s1c2,134_3,144_3,144_4,10,161.19676381903787
s1c2,134_4,144_5,144_6,10,158.7957455156856
s1c2,186_1,196_1,196_2,10,112.75097634278764
s1c2,186_2,196_3,196_4,10,123.76754655855456
s5c1,49_1,59_1,59_2,10,156.92177859395917
s5c1,98_2,108_3,108_4,10,113.96248897457818
s5c1,103_1,113_1,113_2,10,153.434948822922
s5c1,152_2,162_3,162_4,10,165.0585660772944
s5c1,159_1,169_1,169_2,10,180.0
s5c1,159_4,169_5,169_6,10,148.0456370629486
s5c1,192_2,202_3,202_4,10,122.69946112100192
s5c1,197_4,207_5,207_6,10,171.76902489880968
s5c1,199_1,209_1,209_2,10,177.3511942405414
s5c1,200_7,210_7,210_8,10,176.6335393365702
s5c1,206_9,216_9,216_10,10,160.6370676993879
s13c2,42_1,52_1,52_2,10,170.36246188706903
s13c2,42_2,52_3,52_4,10,135.0
s13c2,83_4,93_7,93_8,10,176.58341180822865
s13c2,87_1,97_1,97_2,10,115.6651914621736
s13c2,88_3,98_3,98_4,10,157.61986494804043
s13c2,89_5,99_5,99_6,10,149.8210680709184
s13c2,133_1,143_1,143_2,10,124.05009012745133
s13c2,133_3,143_5,143_6,10,178.09876353538556
s13c2,134_6,144_7,144_8,10,114.77514056883193
s13c2,137_3,147_3,147_4,10,76.26373169437744
s13c2,140_9,150_9,150_10,10,169.24903300681197
s13c2,142_11,152_11,152_12,10,134.54164354199958
s13c2,149_14,159_14,159_15,10,155.44954761079256
s13c2,171_11,181_16,181_17,10,107.81888891452277
s13c2,176_2,186_2,186_3,10,78.47627829610266
s13c2,177_7,187_10,187_11,10,166.5347919051883
s13c2,178_6,188_8,188_9,10,147.3390872783262
s13c2,180_10,190_12,190_13,10,103.4161834818409
s13c2,180_11,190_14,190_15,10,154.65382405805332
s13c2,181_5,191_6,191_7,10,137.64254529406472
s13c2,182_4,192_4,192_5,10,169.57928760320547
s13c2,192_20,202_20,202_21,10,138.54476645559487
s13c2,196_16,206_15,206_16,10,95.9061411137705
s13c2,203_19,213_21,213_22,10,45.81457704975972
s16c8,38_1,48_1,48_2,10,171.0273733851036
s16c8,92_2,102_3,102_4,10,163.92115143781726
s16c8,95_1,105_1,105_2,10,136.62114591365338
s16c8,152_1,162_1,162_2,10,141.45555221991665
s16c8,154_4,164_5,164_6,10,164.05460409907712
s16c8,157_3,167_3,167_4,10,149.5564243200743
s16c8,196_2,206_3,206_4,10,12.994616791916503
s16c8,199_1,209_1,209_2,10,158.8125657768093
s16c8,200_8,210_9,210_10,10,34.38034472384487
s16c8,205_5,215_5,215_6,10,175.30131948270056
s5c7,18_2,28_3,28_4,10,140.07960786001456
s5c7,20_1,30_1,30_2,10,149.67639313745002
s5c7,61_2,71_3,71_4,10,118.41266144307257
s5c7,62_4,72_5,72_6,10,155.22485943116808
s5c7,63_1,73_1,73_2,10,156.9797152785169
s5c7,64_7,74_7,74_8,10,142.1250163489018
s5c7,107_5,117_6,117_7,10,167.25108547359855
s5c7,109_9,119_11,119_12,10,153.5221569435727
s5c7,111_4,121_5,121_6,10,110.6589100633075
s5c7,112_9,122_11,122_12,10,171.2538377374448
s5c7,119_8,129_11,129_12,10,156.31791227546157
s5c7,120_3,130_5,130_6,10,157.89726312154656
s5c7,123_2,133_3,133_4,10,121.91859778594572
s5c7,126_1,136_1,136_2,10,180.0
s5c7,151_10,161_11,161_12,10,115.70501746829541
s5c7,154_9,164_9,164_10,10,166.32869286780416
s5c7,155_17,165_19,165_20,10,179.05043314356416
s5c7,155_18,165_21,165_22,10,177.70938995736148
s5c7,162_15,172_19,172_20,10,135.0
s5c7,162_16,172_21,172_22,10,164.9315118405078
s5c7,167_5,177_8,177_9,10,71.56505117707798
s5c7,167_6,177_10,177_11,10,168.69006752597977
s5c7,168_16,178_20,178_21,10,178.21008939175394
s5c7,171_4,181_6,181_7,10,158.38522105721376
s5c7,173_3,183_4,183_5,10,159.44395478041653
s5c7,175_1,185_1,185_2,10,138.1221304621157
s5c7,175_11,185_12,185_13,10,95.59933933652057
s5c7,179_14,189_14,189_15,10,46.909152432996365
s5c7,183_20,193_20,193_21,10,133.31531568210372
s5c7,194_3,204_3,204_4,10,110.18580300946486
s5c7,194_16,204_18,204_19,10,123.17851165939277
s5c7,194_29,204_38,204_39,10,102.9946167919165
s5c7,196_21,206_26,206_27,10,152.11971556194723
s5c7,196_33,206_44,206_45,10,136.3859178508122
s5c7,196_34,206_46,206_47,10,164.74488129694222
s5c7,197_20,207_24,207_25,10,171.86989764584402
