experiment,method,est_sigma
s15c1_k10_r5_,spalin-divide-beta5-spatialonly,1.517539819214268
s15c1_k10_r5_,spalin,2.740685662002969
s15c1_k10_r5_,spalin-divide-beta1,1.611339657773503
s15c1_k10_r5_,spalin-divide-beta3,1.520379425586987
s15c1_k10_r5_,spalin-divide-beta5,1.422771021854532
s15c1_k10_r5_,spalin-divide-beta7,1.281354360641318
s15c1_k10_r5_,spalin-divide-beta10,1.1418249950883
s19c2_k10_r1_,spalin-spatialonly,2.646879103318332
s19c2_k10_r1_,spalin-divide-beta5-spatialonly,1.100025749844224
s19c2_k10_r1_,spalin,2.904553506988212
s19c2_k10_r1_,spalin-divide-beta1,1.65536733425466
s19c2_k10_r1_,spalin-divide-beta3,1.554129801350682
s19c2_k10_r1_,spalin-divide-beta5,1.431974754067897
s19c2_k10_r1_,spalin-divide-beta7,1.23769787316632
s19c2_k10_r1_,spalin-divide-beta10,1.181322120588997
s19c2_k10_r2_,spalin-spatialonly,2.646879103318332
s19c2_k10_r2_,spalin-divide-beta5-spatialonly,1.100011705410023
s19c2_k10_r2_,spalin,2.199959773554392
s19c2_k10_r2_,spalin-divide-beta1,1.4384309102935
s19c2_k10_r2_,spalin-divide-beta3,1.34537258327482
s19c2_k10_r2_,spalin-divide-beta5,1.24724780230671
s19c2_k10_r2_,spalin-divide-beta7,1.14504950803925
s19c2_k10_r2_,spalin-divide-beta10,1.01613357836492
s19c2_k10_r3_,spalin-spatialonly,2.646879103318332
s19c2_k10_r3_,spalin-divide-beta5-spatialonly,1.100000445610597
s19c2_k10_r3_,spalin,3.5268613661929
s19c2_k10_r3_,spalin-divide-beta1,1.824408466792159
s19c2_k10_r3_,spalin-divide-beta3,1.713553713545976
s19c2_k10_r3_,spalin-divide-beta5,1.551466244166057
s19c2_k10_r3_,spalin-divide-beta7,1.32399622193749
s19c2_k10_r3_,spalin-divide-beta10,1.229104276840638
s19c2_k10_r4_,spalin-spatialonly,2.646879103318332
s19c2_k10_r4_,spalin-divide-beta5-spatialonly,1.099987658296389
s19c2_k10_r4_,spalin,2.458969569727961
s19c2_k10_r4_,spalin-divide-beta1,1.52102395684314
s19c2_k10_r4_,spalin-divide-beta3,1.423000906093117
s19c2_k10_r4_,spalin-divide-beta5,1.319981746406901
s19c2_k10_r4_,spalin-divide-beta7,1.171107824945595
s19c2_k10_r4_,spalin-divide-beta10,1.04528927585377
s19c2_k10_r5_,spalin-spatialonly,2.647004401936005
s19c2_k10_r5_,spalin-divide-beta5-spatialonly,1.099993518127573
s19c2_k10_r5_,spalin,2.332610097947408
s19c2_k10_r5_,spalin-divide-beta1,1.48232017298336
s19c2_k10_r5_,spalin-divide-beta3,1.38894691226856
s19c2_k10_r5_,spalin-divide-beta5,1.291801294976803
s19c2_k10_r5_,spalin-divide-beta7,1.151796067563489
s19c2_k10_r5_,spalin-divide-beta10,1.05529636494811
s9c2_k10_r1_,spalin-spatialonly,3.325589166770009
s9c2_k10_r1_,spalin-divide-beta5-spatialonly,1.25292032765895
s9c2_k10_r1_,spalin,2.74914898621737
s9c2_k10_r1_,spalin-divide-beta1,1.611369865427436
s9c2_k10_r1_,spalin-divide-beta3,1.514482222749543
s9c2_k10_r1_,spalin-divide-beta5,1.372622783760819
s9c2_k10_r1_,spalin-divide-beta7,1.26260827745825
s9c2_k10_r1_,spalin-divide-beta10,1.162955184284424
s9c2_k10_r2_,spalin-spatialonly,3.325589166770009
s9c2_k10_r2_,spalin-divide-beta5-spatialonly,1.252884187687057
s9c2_k10_r2_,spalin,2.241782583335706
s9c2_k10_r2_,spalin-divide-beta1,1.4546639329688
s9c2_k10_r2_,spalin-divide-beta3,1.366690040244624
s9c2_k10_r2_,spalin-divide-beta5,1.251804035316079
s9c2_k10_r2_,spalin-divide-beta7,1.165741621117157
s9c2_k10_r2_,spalin-divide-beta10,1.05687156625497
s9c2_k10_r3_,spalin-spatialonly,3.325156529162702
s9c2_k10_r3_,spalin-divide-beta5-spatialonly,1.25287631735315
s9c2_k10_r3_,spalin,2.562533408032892
s9c2_k10_r3_,spalin-divide-beta1,1.556022591539442
s9c2_k10_r3_,spalin-divide-beta3,1.463702600141604
s9c2_k10_r3_,spalin-divide-beta5,1.333493328833525
s9c2_k10_r3_,spalin-divide-beta7,1.20908563652738
s9c2_k10_r3_,spalin-divide-beta10,1.134668946917661
s9c2_k10_r4_,spalin-spatialonly,3.325589166770009
s9c2_k10_r4_,spalin-divide-beta5-spatialonly,1.252891078475391
s9c2_k10_r4_,spalin,2.344278059826975
s9c2_k10_r4_,spalin-divide-beta1,1.487811764058356
s9c2_k10_r4_,spalin-divide-beta3,1.398442094475396
s9c2_k10_r4_,spalin-divide-beta5,1.278544071274029
s9c2_k10_r4_,spalin-divide-beta7,1.187879649628213
s9c2_k10_r4_,spalin-divide-beta10,1.076192421023652
s9c2_k10_r5_,spalin-spatialonly,3.325589166770009
s9c2_k10_r5_,spalin-divide-beta5-spatialonly,1.252896958151003
s9c2_k10_r5_,spalin,3.04313327205137
s9c2_k10_r5_,spalin-divide-beta1,1.695147031289146
s9c2_k10_r5_,spalin-divide-beta3,1.592883386091486
s9c2_k10_r5_,spalin-divide-beta5,1.435284492498002
s9c2_k10_r5_,spalin-divide-beta7,1.31213063145192
s9c2_k10_r5_,spalin-divide-beta10,1.220378521641959
s3c5_k10_r1_,spalin-spatialonly,2.367848127101576
s3c5_k10_r1_,spalin-divide-beta5-spatialonly,1.288262046361576
s3c5_k10_r1_,spalin,1.88431292210226
s3c5_k10_r1_,spalin-divide-beta1,1.31863852764197
s3c5_k10_r1_,spalin-divide-beta3,1.203975898063489
s3c5_k10_r1_,spalin-divide-beta5,1.079292399967579
s3c5_k10_r1_,spalin-divide-beta7,0.943323347967706
s3c5_k10_r1_,spalin-divide-beta10,0.738532800065785
s3c5_k10_r2_,spalin-spatialonly,2.367848127101576
s3c5_k10_r2_,spalin-divide-beta5-spatialonly,1.283652043415872
s3c5_k10_r2_,spalin,2.002479914313227
s3c5_k10_r2_,spalin-divide-beta1,1.35899625478187
s3c5_k10_r2_,spalin-divide-beta3,1.239672511999086
s3c5_k10_r2_,spalin-divide-beta5,1.109659365015078
s3c5_k10_r2_,spalin-divide-beta7,0.966551690784512
s3c5_k10_r2_,spalin-divide-beta10,0.718025590310726
s3c5_k10_r3_,spalin-spatialonly,2.365051524059919
s3c5_k10_r3_,spalin-divide-beta5-spatialonly,1.287968658529461
s3c5_k10_r3_,spalin,1.706880276064512
s3c5_k10_r3_,spalin-divide-beta1,1.25558606043657
s3c5_k10_r3_,spalin-divide-beta3,1.147756469768397
s3c5_k10_r3_,spalin-divide-beta5,1.030372988032384
s3c5_k10_r3_,spalin-divide-beta7,0.901156646386355
s3c5_k10_r3_,spalin-divide-beta10,0.699694033418417
s3c5_k10_r4_,spalin-spatialonly,2.367848127101576
s3c5_k10_r4_,spalin-divide-beta5-spatialonly,1.28002359006914
s3c5_k10_r4_,spalin,2.1262244832474
s3c5_k10_r4_,spalin-divide-beta1,1.398891071809073
s3c5_k10_r4_,spalin-divide-beta3,1.27297843325738
s3c5_k10_r4_,spalin-divide-beta5,1.134652908462991
s3c5_k10_r4_,spalin-divide-beta7,0.979210304309962
s3c5_k10_r4_,spalin-divide-beta10,0.73094928305473
s3c5_k10_r5_,spalin-spatialonly,2.367848127101576
s3c5_k10_r5_,spalin-divide-beta5-spatialonly,1.27912921793901
s3c5_k10_r5_,spalin,2.022970183618483
s3c5_k10_r5_,spalin-divide-beta1,1.365629100437021
s3c5_k10_r5_,spalin-divide-beta3,1.24523710010159
s3c5_k10_r5_,spalin-divide-beta5,1.113677094681556
s3c5_k10_r5_,spalin-divide-beta7,0.968253352089669
s3c5_k10_r5_,spalin-divide-beta10,0.735899777555587
s2c10_k10_r1_,spalin-spatialonly,2.940590485540032
s2c10_k10_r1_,spalin-divide-beta5-spatialonly,1.48843003404774
s2c10_k10_r1_,spalin,3.23984465014915
s2c10_k10_r1_,spalin-divide-beta1,1.759919545431734
s2c10_k10_r1_,spalin-divide-beta3,1.678392548687788
s2c10_k10_r1_,spalin-divide-beta5,1.554767485999575
s2c10_k10_r1_,spalin-divide-beta7,1.451678514598627
s2c10_k10_r1_,spalin-divide-beta10,1.341452252101117
s2c10_k10_r2_,spalin-spatialonly,4.12143117078053
s2c10_k10_r2_,spalin-divide-beta5-spatialonly,1.48843281701898
s2c10_k10_r2_,spalin,3.44985451076917
s2c10_k10_r2_,spalin-divide-beta1,1.812058823103916
s2c10_k10_r2_,spalin-divide-beta3,1.719324599957544
s2c10_k10_r2_,spalin-divide-beta5,1.574997732148517
s2c10_k10_r2_,spalin-divide-beta7,1.45959125188032
s2c10_k10_r2_,spalin-divide-beta10,1.337227735991492
s2c10_k10_r3_,spalin-spatialonly,2.940590485540032
s2c10_k10_r3_,spalin-divide-beta5-spatialonly,1.488421259092171
s2c10_k10_r3_,spalin,3.00417952496314
s2c10_k10_r3_,spalin-divide-beta1,1.692608377200157
s2c10_k10_r3_,spalin-divide-beta3,1.6094098703092
s2c10_k10_r3_,spalin-divide-beta5,1.491468908059311
s2c10_k10_r3_,spalin-divide-beta7,1.38268884677831
s2c10_k10_r3_,spalin-divide-beta10,1.26723713960838
s2c10_k10_r4_,spalin-spatialonly,2.940590485540032
s2c10_k10_r4_,spalin-divide-beta5-spatialonly,1.488450550259826
s2c10_k10_r4_,spalin,2.690024227281836
s2c10_k10_r4_,spalin-divide-beta1,1.600067771897763
s2c10_k10_r4_,spalin-divide-beta3,1.518253811178221
s2c10_k10_r4_,spalin-divide-beta5,1.414600556755375
s2c10_k10_r4_,spalin-divide-beta7,1.308902320607
s2c10_k10_r4_,spalin-divide-beta10,1.23125598692308
s2c10_k10_r5_,spalin-spatialonly,2.940590485540032
s2c10_k10_r5_,spalin-divide-beta5-spatialonly,1.488405178763928
s2c10_k10_r5_,spalin,2.938391579760961
s2c10_k10_r5_,spalin-divide-beta1,1.67425556086794
s2c10_k10_r5_,spalin-divide-beta3,1.592682737110661
s2c10_k10_r5_,spalin-divide-beta5,1.479174691953199
s2c10_k10_r5_,spalin-divide-beta7,1.37331655620027
s2c10_k10_r5_,spalin-divide-beta10,1.302588058897487
s21c4_k10_r1_,spalin-spatialonly,3.761023192860735
s21c4_k10_r1_,spalin-divide-beta5-spatialonly,1.329331145175382
s21c4_k10_r1_,spalin,2.74696703932142
s21c4_k10_r1_,spalin-divide-beta1,1.60802082930094
s21c4_k10_r1_,spalin-divide-beta3,1.48724250946764
s21c4_k10_r1_,spalin-divide-beta5,1.375291090994781
s21c4_k10_r1_,spalin-divide-beta7,1.26624516610936
s21c4_k10_r1_,spalin-divide-beta10,1.13743888614018
s21c4_k10_r2_,spalin-spatialonly,3.761023192860735
s21c4_k10_r2_,spalin-divide-beta5-spatialonly,1.32870151628265
s21c4_k10_r2_,spalin,2.73700652465905
s21c4_k10_r2_,spalin-divide-beta1,1.605559149025034
s21c4_k10_r2_,spalin-divide-beta3,1.486063062986485
s21c4_k10_r2_,spalin-divide-beta5,1.374725912505757
s21c4_k10_r2_,spalin-divide-beta7,1.280765811074723
s21c4_k10_r2_,spalin-divide-beta10,1.13050823748284
s21c4_k10_r3_,spalin-spatialonly,3.761023192860735
s21c4_k10_r3_,spalin-divide-beta5-spatialonly,1.32914123254231
s21c4_k10_r3_,spalin,3.11200627031104
s21c4_k10_r3_,spalin-divide-beta1,1.711388584005676
s21c4_k10_r3_,spalin-divide-beta3,1.576567929036561
s21c4_k10_r3_,spalin-divide-beta5,1.460382218250296
s21c4_k10_r3_,spalin-divide-beta7,1.304034156402311
s21c4_k10_r3_,spalin-divide-beta10,1.18884537590863
s21c4_k10_r4_,spalin-spatialonly,3.754531923682126
s21c4_k10_r4_,spalin-divide-beta5-spatialonly,1.328913481573753
s21c4_k10_r4_,spalin,2.539100445099294
s21c4_k10_r4_,spalin-divide-beta1,1.54493156731851
s21c4_k10_r4_,spalin-divide-beta3,1.431257816278729
s21c4_k10_r4_,spalin-divide-beta5,1.322711011126466
s21c4_k10_r4_,spalin-divide-beta7,1.209945446051241
s21c4_k10_r4_,spalin-divide-beta10,1.08052803272578
s21c4_k10_r5_,spalin-spatialonly,3.761023192860735
s21c4_k10_r5_,spalin-divide-beta5-spatialonly,1.329106841933766
s21c4_k10_r5_,spalin,2.88524806528144
s21c4_k10_r5_,spalin-divide-beta1,1.649644247781259
s21c4_k10_r5_,spalin-divide-beta3,1.529148828377115
s21c4_k10_r5_,spalin-divide-beta5,1.41991365548447
s21c4_k10_r5_,spalin-divide-beta7,1.29957166145801
s21c4_k10_r5_,spalin-divide-beta10,1.14415330641903
s21c3_k10_r1_,spalin-spatialonly,2.52092925704884
s21c3_k10_r1_,spalin-divide-beta5-spatialonly,1.478014644017037
s21c3_k10_r1_,spalin,2.674575798421565
s21c3_k10_r1_,spalin-divide-beta1,1.598944375478407
s21c3_k10_r1_,spalin-divide-beta3,1.524779270273267
s21c3_k10_r1_,spalin-divide-beta5,1.449477926120855
s21c3_k10_r1_,spalin-divide-beta7,1.37401221697635
s21c3_k10_r1_,spalin-divide-beta10,1.225599786967144
s21c3_k10_r2_,spalin-spatialonly,2.52092925704884
s21c3_k10_r2_,spalin-divide-beta5-spatialonly,1.4779380849225
s21c3_k10_r2_,spalin,2.76873972809325
s21c3_k10_r2_,spalin-divide-beta1,1.62719918712561
s21c3_k10_r2_,spalin-divide-beta3,1.552131464646049
