experiment,method,est_sigma
s16c1_,spalin-divide-beta3,1.35589694502389
s16c1_,spalin-divide-beta5,1.29128110596737
s16c1_,spalin-divide-beta7,1.2309197539946
s16c1_,spalin-divide-beta10,1.174161420215429
s16c1_,spalin_spatialonly,3.504062742894013
s16c1_,spalin-divide-beta5_spatialonly,1.58735611435678
s10c3_,spalin,2.431845271528886
s10c3_,spalin-divide-beta1,1.509269705822352
s10c3_,spalin-divide-beta3,1.404485939890744
s10c3_,spalin-divide-beta5,1.293222585432826
s10c3_,spalin-divide-beta7,1.1760798448539
s10c3_,spalin-divide-beta10,1.00115203983214
s10c3_,spalin_spatialonly,3.077807552030019
s10c3_,spalin-divide-beta5_spatialonly,1.26235870277091
s10c4_,spalin,2.364918300669629
s10c4_,spalin-divide-beta1,1.491050002200776
s10c4_,spalin-divide-beta3,1.39302761339914
s10c4_,spalin-divide-beta5,1.287708080008032
s10c4_,spalin-divide-beta7,1.173293303792935
s10c4_,spalin-divide-beta10,0.978265714013415
s10c4_,spalin_spatialonly,2.323962159222192
s10c4_,spalin-divide-beta5_spatialonly,1.26265694662421
s4c5_,spalin,2.91421410996381
s4c5_,spalin-divide-beta1,1.656146668997439
s4c5_,spalin-divide-beta3,1.549746938755885
s4c5_,spalin-divide-beta5,1.436694612982458
s4c5_,spalin-divide-beta7,1.315761506328124
s4c5_,spalin-divide-beta10,1.11774573665242
s4c5_,spalin_spatialonly,3.589941883853309
s4c5_,spalin-divide-beta5_spatialonly,1.63634722781482
s6c1_,spalin,3.68693193939099
s6c1_,spalin-divide-beta1,1.873157724789076
s6c1_,spalin-divide-beta3,1.776523077293362
s6c1_,spalin-divide-beta5,1.675528211718123
s6c1_,spalin-divide-beta7,1.569967368651024
s6c1_,spalin-divide-beta10,1.40281420256329
s6c1_,spalin_spatialonly,3.75870066506279
s6c1_,spalin-divide-beta5_spatialonly,1.534843171856645
s2c1_,spalin,2.97750919177433
s2c1_,spalin-divide-beta1,1.683276972160074
s2c1_,spalin-divide-beta3,1.588136675424492
s2c1_,spalin-divide-beta5,1.485927026829144
s2c1_,spalin-divide-beta7,1.409513601171894
