experiment,character,method,est_sigma
s3c5,k200_,sigma05_spalin,0.544035468531923
s3c5,k200_,sigma15_spalin,1.764533534024023
s3c5,k200_,sigma3_spalin,2.36315317669774
s2c10,k10_,sigma05_spalin,0.4815084679935791
s2c10,k10_,sigma15_spalin,1.40216362308717
s2c10,k10_,sigma3_spalin,4.33316399543291
s2c10,k10_,sigma05_spalin_spatialonly,0.530476811130346
s2c10,k10_,sigma15_spalin_spatialonly,1.056193523019774
s2c10,k10_,sigma3_spalin_spatialonly,3.474528650240392
s2c10,k50_,sigma05_spalin,0.387996900856902
s2c10,k50_,sigma15_spalin,1.246230698940784
s2c10,k50_,sigma3_spalin,3.462371130596943
s2c10,k200_,sigma05_spalin,0.401448990097879
s2c10,k200_,sigma15_spalin,1.194693739371833
s2c10,k200_,sigma3_spalin,3.7005316359251
s21c4,k10_,sigma05_spalin,0.496647757866917
s21c4,k10_,sigma15_spalin,1.227178575970847
s21c4,k10_,sigma3_spalin,2.7839110992522
s21c4,k10_,sigma05_spalin_spatialonly,0.4396057988750184
s21c4,k10_,sigma15_spalin_spatialonly,1.11752443404628
s21c4,k10_,sigma3_spalin_spatialonly,2.57352736678933
s21c4,k50_,sigma05_spalin,0.482109334341734
s21c4,k50_,sigma15_spalin,1.174753692840239
s21c4,k50_,sigma3_spalin,2.729705085265005
s21c4,k200_,sigma05_spalin,0.49409138806448
s21c4,k200_,sigma15_spalin,1.229067792000357
s21c4,k200_,sigma3_spalin,2.8413704173583
s21c3,k10_,sigma05_spalin,0.478115462903998
s21c3,k10_,sigma15_spalin,1.558682477573997
s21c3,k10_,sigma3_spalin,2.00548628307391
s21c3,k10_,sigma05_spalin_spatialonly,0.4510241554297667
s21c3,k10_,sigma15_spalin_spatialonly,2.254448685874646
s21c3,k10_,sigma3_spalin_spatialonly,1.891259891509705
s21c3,k50_,sigma05_spalin,0.535186198252049
s21c3,k50_,sigma15_spalin,1.6782731634875
s21c3,k50_,sigma3_spalin,2.246112898399232
s21c3,k200_,sigma05_spalin,0.520450495087683
s21c3,k200_,sigma15_spalin,1.836696219667967
s21c3,k200_,sigma3_spalin,2.637231755485072
s21c5,k10_,sigma05_spalin,0.325880018378978
s21c5,k10_,sigma15_spalin,1.38993221918453
s21c5,k10_,sigma3_spalin,2.403252709952406
s21c5,k10_,sigma05_spalin_spatialonly,0.376794437141255
s21c5,k10_,sigma15_spalin_spatialonly,2.061429217672551
s21c5,k10_,sigma3_spalin_spatialonly,2.127738925563445
s21c5,k50_,sigma05_spalin,0.3639810388070839
s21c5,k50_,sigma15_spalin,1.460830268740289
s21c5,k50_,sigma3_spalin,2.592770215348769
s21c5,k200_,sigma05_spalin,0.329928417336702
s21c5,k200_,sigma15_spalin,1.34327393765179
s21c5,k200_,sigma3_spalin,2.677259172356707
s14c5,k10_,sigma05_spalin,0.457985610342693
s14c5,k10_,sigma15_spalin,1.252402265295209
