sample,cellID,true_x,true_y,method,est_x,est_y,error
s15c4/k10_r2,206_4,138.0,95.0,problin,128.88288603854974,97.9124263537199,9.57099755782611
s15c4/k10_r2,157_2,127.0,88.0,spalin,114.8710892227711,87.67975301764363,12.133137878211375
s15c4/k10_r2,157_2,127.0,88.0,problin,113.8348079383473,86.66000988313573,13.233210326050791
s15c4/k10_r2,204_1,94.0,97.0,spalin,89.74129072087683,93.93989154595909,5.244127045999405
s15c4/k10_r2,204_1,94.0,97.0,problin,89.53935984209036,93.9881280816987,5.382256317810222
s15c4/k10_r2,90_1,112.0,77.0,spalin,104.80023220303065,90.18852602024742,15.025773687801246
s15c4/k10_r2,90_1,112.0,77.0,problin,104.21577462032276,89.56135225933028,14.777744595999522
s15c4/k10_r2,191_7,115.0,104.0,spalin,119.2079805893573,112.29202243766166,9.298641661398305
s15c4/k10_r2,191_7,115.0,104.0,problin,118.98989112672689,112.0231193701216,8.960450637683044
s15c4/k10_r2,193_9,139.0,114.0,spalin,143.64878749127053,128.70056621271175,15.4181020918048
s15c4/k10_r2,193_9,139.0,114.0,problin,144.78414217029155,129.38463449566078,16.43603599446109
s15c4/k10_r2,142_4,119.0,105.0,spalin,121.60610623144048,115.6591948165092,10.973159245442922
s15c4/k10_r2,142_4,119.0,105.0,problin,117.72256603271302,114.92153911691707,10.00343820840086
s15c4/k10_r2,194_6,74.0,101.0,spalin,78.04636540749829,106.6758437062673,6.970529017870374
s15c4/k10_r2,194_6,74.0,101.0,problin,81.41330700124269,107.01828310837377,9.548657092346065
s15c4/k10_r2,195_5,80.0,114.0,spalin,77.85933661930873,109.30996917167207,5.155465922697867
s15c4/k10_r2,195_5,80.0,114.0,problin,78.75445264693437,109.87032052082887,4.313425646677586
s15c4/k10_r2,150_3,85.0,112.0,spalin,78.39842590740983,106.77452617155124,8.419403614969449
s15c4/k10_r2,150_3,85.0,112.0,problin,81.81677700687626,107.11258789820201,5.8326413979219645
s15c4/k10_r2,91_3,116.0,96.0,spalin,102.27642563520263,106.23804701815033,17.121743488674873
s15c4/k10_r2,91_3,116.0,96.0,problin,100.16812235944393,107.75530823055072,19.718915315523645
s15c4/k10_r2,33_1,131.0,65.0,spalin,104.8002322030303,90.18852602024711,36.34404594548873
s15c4/k10_r2,33_1,131.0,65.0,problin,104.21577462032124,89.56135225932948,36.3408138873677
s15c4/k10_r3,200_4,106.0,82.0,spalin,105.61682508887111,76.4334669300216,5.5797054968592965
s15c4/k10_r3,200_4,106.0,82.0,problin,105.52051248157431,76.06806838815942,5.951278932118678
s15c4/k10_r3,206_4,138.0,95.0,spalin,125.01993643876602,96.34265962156444,13.049321243384792
